NOAHL 2026年8月 MD計画書,,,,,,,
Part 1：4軸トレンド総評,,,,,,,
軸① ZOZO市場分析（3レポート統合）,,,,,,,
トップス市場（Tレポート）,,,,,,,
,,,,,,,
"8月はシャツ29件→22件、Tシャツ16件→14件と夏物トップスがピークを越え減速フェーズ。ただしTシャツは14件→19件に急増というデータもあり、「市場全体は縮小するが、高付加価値Tシャツだけが伸びる」二極化が鮮明。aeaeのDOT SMALL LETTER TEE(¥6,000)やBonjour SaganのカレッジT(¥3,627)が引き続き牽引。",,,,,,,
,,,,,,,
"DISCOATのテックリネン半袖シャツJK(¥5,100)は8月も安定。「秋まで使えるシャツJK」が夏→秋のブリッジアイテムとして重要。",,,,,,,
,,,,,,,
"「2WAY」KWが1件→4件に急増。JUNOAHの2wayオフショルジャガードペプラム(¥7,272)が象徴。8月は「夏の今すぐ着」＋「秋の先取り」が混在するため、着回し力のある2WAYアイテムが支持される。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nltp288(279枚)は7月974枚から急減。8月は処分月のため夏物は消化フェーズ。nltp383(242枚/8月新作/評価4.04)は秋まで着られるブリッジ品番として機能。nltp031(409枚/在庫1,568)は7月897枚→8月409枚で失速明確。8月中に20〜40%OFFで消化。",,,,,,,
,,,,,,,
ボトムス市場（Pレポート）,,,,,,,
,,,,,,,
"8月はパンツが36件→45件に爆増。「ウォッシャブル」KWが1件→4件に急増。andmeのポンチカーブパンツ(¥3,111/2,688枚)が代表。「洗える×シワにならない×立体シルエット」が8月ボトムスの3大必須要件。",,,,,,,
,,,,,,,
"レースデニムが2件→3件（販売数1,445→2,532枚）。Chicoのポケットレースワイドデニム(¥8,000)やKastaneのレースデニム(¥6,000)が高単価帯を牽引。夏のTシャツ1枚コーデの「着映え」需要がピーク。",,,,,,,
,,,,,,,
"「ポンチ」素材の販売数が1,644→3,907枚に倍増。「コットン」も830→4,468枚に激増。天然素材＋イージーケアの二軸。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nlpt320(506枚)は7月1,112枚→8月506枚で半減だがTOP4維持。夏物終了日（8月末）のため最後のプロパー消化。nlpt329(197枚/在庫22)は在庫切れ寸前で追加不可。nlbi019(590枚)がインナーTOP1に浮上。8月は「インナー＋定番品」が主力で、新作パンツの投入は秋物に回す。",,,,,,,
,,,,,,,
ワンピース・スカート・アウター市場（Sレポート）,,,,,,,
,,,,,,,
"オールインワンが25件→28件に微増でピーク。Classical Elfのリネン混ペプラムセットアップ(¥3,635/2,145枚)が8月TOP。セットアイテム（WP「セット」5件→7件）も拡大。JUNOAHのカットレースポロWP+ペチセット(¥8,181/1,966枚)が代表。",,,,,,,
,,,,,,,
"秋先取りアウターとして「別注」KW2件→6件、「ブルゾン」1件→3件に急増。UngridのビッグシルエットデニムJK(¥6,364)が8月後半の秋物立ち上がりの象徴。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nlwp345(168枚/7月新作/評価3.25)は評価が低く8月で失速。nlwp276(153枚/在庫20)は在庫切れ間近。nlwp280(32枚/在庫1,058)は完全に死に在庫化。8月末の40〜60%OFF→サンプルSALE→1月福袋の処分ルートを確定。",,,,,,,
,,,,,,,
軸② 楽天市場分析（Rレポート）,,,,,,,
注力カテゴリ,,,,,,,
,,,,,,,
パンツが36件→45件に爆増で8月最大カテゴリ。ワンピースも15件→20件に急増。シャツ・Tシャツは減速。楽天の8月は「夏物最終処分＋秋物先行予約」の両面作戦。,,,,,,,
,,,,,,,
「体型カバー」37件で引き続き高水準。「UVカット」21件、「接触冷感」10件。コクーンパンツ・バレルレッグが楽天ボトムスの勝ち筋。,,,,,,,
,,,,,,,
楽天施策との連動,,,,,,,
,,,,,,,
"8月はイベント谷間（お買い物マラソン程度）。お盆明けからは秋物の先行予約が始まる。在庫管理シートv7では8月は夏物処分月で仕入¥400万（全額再入荷）＋秋物¥1,150万。夏物新規ゼロが鉄則。",,,,,,,
,,,,,,,
NOAHLへの示唆：nl0197(763枚/在庫254)は8月も楽天724枚で安定。販売終了日8月末なのでこれが最後の月。在庫254枚÷763枚＝0.3ヶ月で8月中に完売見込み。nlda342068(788枚/在庫68)は8月TOP1だが在庫68枚で月内完売確定。楽天での定番品欠品は「最後まで粘って売り切る」が正解。,,,,,,,
,,,,,,,
軸③ 2026トレンド分析（trend2026サイト参照）,,,,,,,
