NOAHL 2025年12月 MD計画書,,,,,,
Part 1：4軸トレンド総評,,,,,,
軸① ZOZO市場分析（T・P・S統合）,,,,,,
"トップス（T） 11月→12月でニット系が引き続き最大カテゴリ。シャギー・モヘヤ混・ケーブル編みなどテクスチャー系ニットが最盛期に到達し、件数34→40件超へ。タートルネック・ハイネック比率が顕著に上昇（11月≈20%→12月≈35%）。スウェット・パーカーは12→15件程度に微増だが裏起毛が標準仕様となり、非裏起毛品は競争力を喪失。配色ニット・バイカラー系が引き続き上位を占め、「ケーブル編み×配色」「フリンジ×ハイネック」が新しい組合せとして台頭。価格帯は5,000〜8,000円がボリュームゾーンで、10,000円超のウールニットも受容拡大。キーワードは「裏起毛」「タートル」「ケーブル」「カシミヤ混」「オーバーサイズ」。",,,,,,
,,,,,,
"ボトムス（P） 裏起毛パンツが引き続き1位圏。コーデュロイワイドパンツが11月の3件→5件に増加し、販売枚数も2倍近くに。ツイード・チェック系ボトムスが12月に急伸（0→4件）、年末パーティー・イベント需要に対応。フレアシルエット継続優勢（8→9件）。ハイウエスト＋センタープレスは定番化し、デニムはインディゴ・ダークウォッシュが冬仕様に切替わる。価格帯は裏起毛で7,000〜9,000円、ツイード・チェックで6,000〜8,000円。",,,,,,
,,,,,,
"ワンピース・スカート（S） ニットワンピースが最盛期（22→28件）、特にリブニット×ロング丈が支配的。ベロア素材が11月の上昇を維持しつつ、12月はベロア×プリーツの組合せが新規上位に。年末需要で「きれいめワンピース」が急伸（セットアップ対応型、ジャケットインナー兼用）。ロングスカート（プリーツ・フレア）は12→14件、ニット素材スカートが新たに上位入り。価格帯は7,000〜12,000円に上昇（ギフト・イベント需要で単価アップ受容）。",,,,,,
,,,,,,
"ZOZO総括 — NOAHLへのインプリケーション 12月は冬本番＋年末イベント＝「防寒×華やかさ」の二軸。タートルニット・ベロアワンピ・ツイードボトムスが三大注力カテゴリ。NOAHLの「ニュアンスカラー×きれいめ」は年末のエレガント需要と強く共鳴。価格帯は月平均単価が10月比＋15〜20%上昇しており、¥7,980〜¥9,980帯の積極投入が可能。",,,,,,
,,,,,,
軸② 楽天市場分析（R）,,,,,,
12月の楽天は年間最大級イベントが2つ重なる：楽天スーパーSALE（12/4 20:00〜12/11 01:59）＋楽天大感謝祭（12/19 20:00〜12/26 01:59）。,,,,,,
,,,,,,
"コート系が11月25件→12月30件超へ。特にウールコート・ムートン・ダウン系が急伸。ニット系は15→20件、裏起毛は18→22件と防寒素材が圧倒的主流。楽天特有の「体型カバー×防寒」需要が最高潮に達し、「裏起毛×ゆったり」「ケーブルニット×体型カバー」の検索ボリュームが急増。価格帯はスーパーSALEでのクーポン前提の設計が重要で、「定価¥6,980→SALE¥5,580」のような見せ方が効果的。",,,,,,
,,,,,,
楽天レビュー傾向では「厚手で暖かい」「見た目より軽い」「オフィスでもOK」が高評価キーワード。大感謝祭はギフト需要もあり、セット商品・ラッピング対応が差別化要素になる。,,,,,,
,,,,,,
"楽天アクション スーパーSALE開始2時間枠（12/4 20:00〜22:00）にS級品番を集中配置。RPP予算は月¥40,000上限を維持しつつ、SALE初日に70%集中投下。大感謝祭（12/19〜）にはギフト訴求の「セットアップ」「ニットワンピ」を追加出品。",,,,,,
,,,,,,
軸③ 2026トレンド分析（AW寄り・12月適用）,,,,,,
2026AW方向性とNOAHL 12月商品への接続：,,,,,,
,,,,,,
「テクスチャーリッチ」（適合度9/10）：シャギー・ブークレ・モヘヤ混の素材トレンドは12月の防寒ニーズと完全一致。NOAHLのニュアンスカラー（モカ・グレージュ・ダスティピンク）との組合せが最適。,,,,,,
,,,,,,
