NOAHL 2025年11月 MD計画書,,,,,,,
Part 1：4軸トレンド総評,,,,,,,
軸① ZOZO市場分析（3レポート統合）,,,,,,,
トップス市場（Tレポート）,,,,,,,
"11月はニットがランクイン16件→34件に倍増し、10月の爆発をさらに加速させた。秋冬トップスの完全なるニット支配が確立した月。Classical Elfの「フリンジ配色オーバーニット」(¥3,635)が3,000円台で配色×フリンジの付加価値を証明し、Ada.の「襟付きシャギーボリュームスリーブニット」(¥6,354)が6,000円台で「シャギー×デザイン襟」のフォーマットを確立。Ungridのモヘヤ混ニット(¥7,200)は高単価素材ニットの実需を裏付けている。",,,,,,,
,,,,,,,
"スウェット・パーカーも5件→12件に急増。MONO-MARTの「ワッペン刺繍ビッグシルエット裏起毛」(¥5,310)やAnchor Smithの「サークルロゴ刺繍ダブルジップパーカー」(¥4,860)が示すように、「刺繍×裏起毛×ダブルジップ」の三重付加価値が5,000円前後の必須条件に。楽天Rレポートの「裏起毛」8件→18件急増とも完全に連動。",,,,,,,
,,,,,,,
"「配色」KWが前月2件→9件に爆増し、11月のデザインニットを象徴するキーワードに浮上。「シャギー」は複数ランクインを維持、「刺繍」も7件→9件で高水準。単なる無地ニットでは¥3,000を超えられない市場構造が、11月でさらに鮮明化した。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nltp453(711枚/¥7,980)が11月新作のトップ初動で極めて好調。NL公式272枚と自社EC比率38%が高く、メタ広告が機能している証拠。nltp383(659枚/¥5,980)は10月の1,958枚からペースダウンしたが、依然として月間TOP5入り。10月MD計画で提案したS1（フクレジャガードドッキングニット）のフォーマットが市場データと合致しており、11月はそのパターンの「配色バリエーション追加」で上乗せする戦略が有効。",,,,,,,
,,,,,,,
ボトムス市場（Pレポート）,,,,,,,
"11月は冬素材パンツが一気に立ち上がった。「裏起毛」0件→3件、「コーデュロイ」0件→3件、「ツイード」0件→3件と、10月時点では存在しなかったKWが一斉にランクイン。green label relaxingの「オルマイ ウラキモウ ワイドパンツ」(¥7,200/2,088枚)が1位を獲得し、recaの「裏起毛セミワイドリブパンツ」(¥3,891/3,433枚)が3,000円台の実売ゾーンを牽引。FREAK'S STOREの「コーデュロイカーブパンツ」(¥5,450/934枚)も好調。",,,,,,,
,,,,,,,
"「フレア」が5件→8件に急増。AZUL BY MOUSSYのフレアデニム(¥7,264)が継続的に強く、Classical Elfの「フリンジ使いヴィンテージ風フレアデニム」(¥3,363)が3,000円台でフレア市場を押し広げている。冬のボリュームアウターとのバランスを取る「美脚フレア」が高単価帯（¥6,000〜8,000）のメイントレンドに。",,,,,,,
,,,,,,,
"「イージーパンツ」も4件→7件に増加。DISCOATの「あったかとろみイージーパンツ」(¥6,000)が「暖かい＋楽ちん」の冬版として稼働しており、リラクシーとスタイルアップの二極化が鮮明。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nlpt454(573枚/¥7,980)が11月新作ボトムスで驚異的な初動。NL公式265枚＋楽天306枚で全チャネル対応。nlpt425(553枚/¥6,980)も10月の144枚→11月553枚と約4倍に加速。nlpt379(270枚/¥6,980)はNL公式193枚と自社EC比率71%で最高水準。ボトムス3品番で計1,396枚は、NOAHL史上初の「ボトムスがTOP10に3品番ランクイン」であり、設計ルール「S級＋A級のみで勝負」が完全に機能し始めた証拠。11月はこの勢いを止めない「追いかけ」が最重要。",,,,,,,
,,,,,,,
ワンピース・スカート・アウター市場（Sレポート）,,,,,,,
"アウターは「ファー」KWが7件→13件に倍増。LIANの「プードルファーブルゾン」(¥9,000/2,591枚)が圧倒的。moment+の「ファーティペット付きフェイクレザーブルゾン」(¥6,182/5,213枚)は11月ZOZO市場全体でもトップクラスの販売数。軽アウターからファー/ボアアウターへの完全移行が11月で完了した。",,,,,,,
,,,,,,,
"ニットワンピースは11件→22件に倍増で10月の爆発がさらに加速。JUNOAHの「バイカラーリボンニットワンピース」(¥7,272/2,028枚)と「オフショル風スクエアネックミニニットワンピ」(¥6,363/1,488枚)が1位・2位を独占。Classical Elfの「マルチwayニット×チュールワンピースセット」(¥5,908/1,139枚)もセットアイテムの力を証明。「1枚でサマになる」＋「バイカラー/オフショル風の着映え」が¥6,000〜7,000台の必勝フォーマット。",,,,,,,
,,,,,,,
"スカートの「ニット」は6件→8件に増加。andmeの「リブニットロングタイトスカート」(¥3,346)やCIAOPANIC TYPYの「リブニットスカート」(¥2,800)が示す通り、ボリュームアウターの受け皿として「すっきりIラインのニットスカート」が安定需要。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nlmot007(758枚/¥11,980)が11月全品番TOP1。まよさんコラボのアウターが楽天NL729枚で爆発。10月の0枚（未発売or助走）→11月758枚で月間¥908万の売上を叩き出した。ただし在庫744枚は1ヶ月分弱で、12月に向けて即追加が必要。nlot428(181枚/¥13,890)も好調で在庫0枚。nl0195(102枚/¥16,000)はレビュー385件の超定番コートとして11月に再浮上。アウターカテゴリが11月で初めて月間TOP品番になったことは、NOAHLのカテゴリ構成に大きな変化の兆し。",,,,,,,
,,,,,,,
軸② 楽天市場分析（Rレポート）,,,,,,,
注力カテゴリ,,,,,,,
"「裏起毛」が8件→18件に爆増で、楽天11月の最強キーワード。スウェット、ロンT、パンツ、あらゆるカテゴリで「裏起毛」が購入の絶対条件に。la-gemmeの「U.S. POLO ASSN. 別注ロゴ刺繍裏起毛スウェット」やclassicalの「ポンチプルオーバートレーナー」が3,000〜5,000円台で上位を占める。",,,,,,,
,,,,,,,
"「コート」8件→25件、「ジャケット」15件→32件とアウターが爆発的に急増。antelpの「リバーロングコクーンウールコート」やstylifeの「ボアノーカラーブルゾン」が7,000〜9,000円台で大きな売上の柱に。楽天のアウター需要は「きれいめ×防寒」のバランスが鍵。",,,,,,,
,,,,,,,
「シャツ」16件→6件、「Tシャツ」7件→1件と薄手トップスは完全退場。市場は「冬物一色」であり、シャツ系在庫は翌春まで動かない。,,,,,,,
,,,,,,,
注目キーワード,,,,,,,
"「ロゴ刺繍」「ポンチ素材」が引き続き中間価格帯の付加価値の核。無地スウェットでは¥3,000を超えられないが、刺繍1つで¥4,000〜5,000が成立する構造は楽天でもZOZOでも共通。",,,,,,,
,,,,,,,
「裏ボア」「保温」といった機能性KWが新たに浮上。実用的な防寒が購買の決め手であり、商品説明で「裏起毛」「裏ボア」を明記しないと楽天検索で不利になる。,,,,,,,
,,,,,,,
楽天施策との連動,,,,,,,
11月は楽天マラソン＋ブラックフライデーが集中する年間最大級のイベント月。マスター設計ガイドのカレンダーでも「秋物処分。冬物最盛期」と位置づけ。ブラックフライデー(11月下旬)にはS級品番の限定OFFではなく「秋物の処分OFF」を設定し、冬物新作はプロパー維持。開始2時間枠にはnltp453(711枚)やnlpt454(573枚)のような「初動好調の新作」を配置し、ランキング上位を獲得→自然流入増の好循環を作る。,,,,,,,
,,,,,,,
NOAHLへの示唆,,,,,,,
nlmot007(758枚)の楽天NL729枚で楽天比率96%。まよさんコラボアウターは完全に「楽天で爆発する」構造。nlxn30722(755枚)は楽天NL696枚で楽天比率92%、レビュー458件の超定番ニットワンピース。nlxn30705(738枚)も楽天NL716枚で楽天比率97%。11月は「楽天の冬物3本柱（コラボアウター＋定番ニットWP＋定番ニットTP）を絶対に欠品させない」ことが最重要アクション。nlxn30722は在庫66枚で12月に確実に欠品する。即追加必須。,,,,,,,
,,,,,,,
軸③ トレンド分析（2026AWトレンドから11月向けを抽出）,,,,,,,
NOAHLへの適合度が高いトレンド（スコア8以上）— 11月で最もリアルタイムに効くもの,,,,,,,
"「テクスチャーリッチ」（適合度8）：10月に引き続きAW最重要トレンド。11月はZOZO市場の「配色」KW2→9件爆増、「シャギー」複数ランクイン、楽天の「裏起毛」8→18件爆増と、3つのデータすべてが「表面変化×防寒素材」を指し示している。ブークレ、モヘヤ混、フリンジニットが¥5,000〜7,000台でプロパー消化できる根拠が揃った。",,,,,,,
,,,,,,,
"「ハイネック×エレガンス」（適合度9）：ファンネルネック、タートルネックの需要がピーク。DISCOATの「リブ袖口ボタンタートル」(¥3,600)がインナーベースとしてZOZOランクインしており、NOAHLのインナー品番（nlbi005/259枚）との連動でセット率を上げる好機。",,,,,,,
,,,,,,,
「グランジ×フェミニン」（適合度7→11月で実効性UP）：フランネルチェック、コーデュロイがPレポートで0→3件急増。10月にはまだ早かったこのトレンドが11月で実需化した。ただしNOAHLの世界観（淡色・ニュアンスカラー）との整合性を考え、「コーデュロイ×モカブラウン」「フランネル×グレージュ」のような解釈に留める。,,,,,,,
,,,,,,,
"「エコファー・ボア」（AW2026素材トレンド）：Sレポートのファー7→13件倍増、楽天のボア急伸と完全一致。LIANの「プードルファーブルゾン」(¥9,000/2,591枚)は2026AWの「フラッフィーテクスチャー」トレンドの先取り。NOAHLのnlmot007(758枚/¥11,980)はまよさんコラボのアウターとして既にこのトレンドをキャッチしているが、OEM品番でもファー/ボアアウターを1型追加する価値がある。",,,,,,,
,,,,,,,
カラーパレット,,,,,,,
11月のNOAHLカラーは「冬のニュアンスカラー」に完全シフト。Pantone AW26のMuted Clay、ダスティローズに加え、ブラック＋アイボリーのモノトーンが防寒アイテムの基本色。nltp453(711枚)やnlpt454(573枚)の成功色を分析し、12月・1月の追加色を判断する。,,,,,,,
,,,,,,,
素材トレンド,,,,,,,
