NOAHL 2025年10月 MD計画書,,,,,,,
Part 1：4軸トレンド総評,,,,,,,
軸① ZOZO市場分析（3レポート統合）,,,,,,,
トップス市場（Tレポート）,,,,,,,
"10月はニットがランクイン7件→16件に倍増し、販売数18,119枚→60,437枚と約3.3倍。プルオーバーも2件→7件で販売数6,899枚→31,670枚と4.6倍の爆発的伸び。秋本番で「トップスの主役がニットへ完全移行」した月。",,,,,,,
,,,,,,,
"ニットの勝ちパターンは「異素材ドッキングで一枚映え」。me Janeの「デニム切替フェイクレイヤードニットカーディガン」(¥4,536/販売金額3,800万円超)が総合1位を獲得し、「異素材ミックス」が最強の引きであることを証明した。Classical Elfの「フクレジャガードトップス」(¥3,635)が「生地の表面変化」だけで3,000円台を成立させており、¥3,000超の成立条件は「素材のテクスチャー」か「ドッキングの手間」のどちらかに集約される。",,,,,,,
,,,,,,,
"シャツは10件と横ばいだが販売数35,497枚を維持。ANGIEの「バンドカラーデニムシャツ」(¥4,500)やme Janeの「オンブレチェックシャツ」(¥2,725)など、季節感のある素材・柄へのシフトが明確。「デニムシャツ」「チェック」が秋らしさの記号として機能している。「シャギー」KW2件→5件、「レイヤード」KW3件→5件と、10月の付加価値キーワードは「秋の質感」と「計算されたレイヤード」。",,,,,,,
,,,,,,,
一方、Tシャツはランクイン3件に激減。「半袖」も前月9件→4件。裏起毛スウェットや厚手ニットへの完全シフトが必要なタイミング。,,,,,,,
,,,,,,,
"NOAHLへの示唆：nltp383(1,958枚/¥5,980)が10月TOPで圧倒的。楽天NL:1,483枚が牽引し、ZOZOのChacoCloset:176枚・NL公式:298枚と全チャネルで売れている。nltp244(823枚/¥5,980)もレビュー492件の安定品番として継続稼働。この2品番だけで2,781枚。10月の新作はこの柱を崩さず「秋ニット」で上乗せする位置づけ。",,,,,,,
,,,,,,,
ボトムス市場（Pレポート）,,,,,,,
"10月はハイウエストがランクイン4件→7件に急増し、販売数5,485枚→12,988枚と倍増以上。スラックスも12件→14件で販売数18,664枚→25,282枚。秋物トップスをインするスタイリングの増加が明確に数字に表れている。",,,,,,,
,,,,,,,
"ハイウエスト×スラックスの勝ちパターンは「太ベルト＋タック＋センタープレス」。me+em selectの「太ベルトハイウエストカラータックスラックス」(¥3,635/1,783枚)と「ダブルタックヘビーワイドスラックス」(¥4,200/1,627枚)が3,000〜5,000円台の実売ゾーンを支配。「穿くだけでスタイルが良く見える（体型補正効果）」が5,000円前後の価格を正当化する理由。",,,,,,,
,,,,,,,
"デニムカテゴリでは「ルーズ」が1件→3件(販売数777枚→4,991枚)、「フレア」が4件→5件(販売数4,151枚→7,336枚)と、シルエット変化を持たせた高単価デニムがヒット。Re:EDITの「裾フリンジバレルレッグデニム」(¥4,998)やAZUL BY MOUSSYの「フレアデニム」(¥7,264)、mysticの「ウェーブデニム」(¥8,900)が¥5,000〜9,000の高単価帯を牽引。素材面では「センタープレス」(3件→4件/販売数6,606枚→10,377枚)と「ツイル」(4件→5件)への秋素材シフトが進行中。",,,,,,,
,,,,,,,
