NOAHL 2026年9月 MD計画書,,,,,,,
Part 1：4軸トレンド総評,,,,,,,
軸① ZOZO市場分析（3レポート統合）,,,,,,,
トップス市場（Tレポート）,,,,,,,
,,,,,,,
"9月は夏物シャツ26件→10件、Tシャツ19件→3件と夏物が壊滅的に急減。代わりにカーディガン2件→11件、パーカー2件→8件が爆発。販売数はカーディガン6,033枚→22,000枚（3.6倍）、パーカー2,261枚→22,246枚（約10倍）。9月は「羽織り」が全カテゴリ最大の主戦場。",,,,,,,
,,,,,,,
"FREAK'S STOREの裏配色スナップニットカーディガン(¥6,360)が総合1位。「シャギー」KW0件→2件、「ダブルジップ」KW1件→4件。Ada.のショート丈ダブルジップパーカー(¥3,627)やMONO-MARTのPENNEYS別注ジップパーカー(¥3,600)が¥3,000台で爆発。",,,,,,,
,,,,,,,
「質感の秋シフト」が明確。シャギー、ピグメント加工、ベロアなど「視覚的に秋を感じる素材」が高単価を正当化。,,,,,,,
,,,,,,,
"NOAHLへの示唆：nltp383(2,269枚/¥5,980)が9月TOP1で8月242枚→9月2,269枚と約10倍の爆発。8月20日発売の秋ブリッジ品番が9月に大化けした。nltp244(1,512枚)も9月に復活（8月82枚→9月1,512枚）。accoさんコラボの秋復活を証明。nltp031(836枚)も秋口で安定。9月は「秋物新作＋定番品の秋復活」のダブル効果で月間販売数が急回復する月。",,,,,,,
,,,,,,,
ボトムス市場（Pレポート）,,,,,,,
,,,,,,,
"タックが11件→14件、カーブ3件→5件、ポンチ2件→4件に急増。タック販売数13,757枚→17,236枚。me+em selectのダブルタックヘビーワイドスラックス(¥4,200)やhinariのハイウエストリボンパンツ(¥6,300)が代表。",,,,,,,
,,,,,,,
"スウェットパンツが2件→4件（販売数5,618→8,088枚）。sedacleのアソート柄スウェットパンツ(¥5,450)など「部屋着感のないデザインスウェット」が中間価格帯を牽引。",,,,,,,
,,,,,,,
"ポンチ素材が3,907→4,998枚に増加。「秋らしい肉感×イージーケア」のハイブリッドが¥5,000台の支持基盤。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nlpt320(213枚)は夏の終了で減速（7月1,112→8月506→9月213）。ただし終了日8月末で最後の販売。nlpt379(163枚/¥6,980)が秋パンツとして浮上。njpt360(382枚/¥7,980)がパンツTOP。秋物パンツは8月に投入したAS3（カーブパンツ秋素材版）の初速を見て追加判断。",,,,,,,
,,,,,,,
ワンピース・スカート・アウター市場（Sレポート）,,,,,,,
,,,,,,,
"テーラードJKが2件→10件に爆増。Louereのゴールドボタンテーラードジャケット(¥7,272/1,155枚)が象徴的。SENEEのdouble tailored jacket(¥9,000/978枚)も好調。ゴールドボタン×ヘリンボーンがJKの勝ち筋。",,,,,,,
,,,,,,,
"オケージョンドレスが4件→14件、結婚式KW3件→12件に急増。秋のブライダルシーズン到来。ANDRESDのデコラティブチュールトップス(¥8,900)やMeiruのチュールボレロ＋キャミWPセット(¥7,272)が高単価で好調。",,,,,,,
,,,,,,,
"ミニスカート3件→7件、サテンスカート4件→8件。hinariのラップデザインミニスカパン(¥4,500)が代表。秋ブーツ×ミニ丈の提案。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nltp400(382枚/¥8,980/宅配便/評価4.55)が9月新作でTOP10入り。宅配便品番としては珍しく好調だが、利益率は低い構造。nlwp377(222枚)は8月13日発売のWPが好調。nlxn30705(98枚/¥6,980)は前年秋物の再投入で9月にジャンプ。「前年ロングセラーの秋再展開」が効いている。",,,,,,,
,,,,,,,
軸② 楽天市場分析（Rレポート）,,,,,,,
注力カテゴリ,,,,,,,
,,,,,,,
「長袖」15件→18件に増加で秋物への完全移行。「カーディガン」2件→9件、「ジャケット」1件→10件に爆発。楽天でも羽織り需要がピーク。,,,,,,,
,,,,,,,
"sugarbiscuitのチェックネルシャツやla-gemmeのU.S. POLO ASSN.別注ロゴ刺繍ロンTなど、「秋らしさ＋ブランド力」で差別化した¥3,000〜5,000台が上位。",,,,,,,
,,,,,,,
NOAHLのnoahl配色ニットカーディガンも楽天で上位に食い込んでいる（Rレポートで言及あり）。,,,,,,,
,,,,,,,
楽天施策との連動,,,,,,,
,,,,,,,
9月は楽天スーパーSALE（Sランク）が年間最大の山場。6月4日〜11日に続く年3回目のスーパーSALE（9月4日〜11日予想）。NOAHLはSランク対象。5月SALE（950万流通）を超える売上目標。,,,,,,,
,,,,,,,
"在庫管理シートv7で9月は秋物売上原価¥1,539万で年間秋物最大の消化月。スーパーSALEの弾として8月投入の秋物S級品番が最も重要。",,,,,,,
,,,,,,,
"NOAHLへの示唆：nltp383(2,269枚/楽天NL1,957枚)が9月スーパーSALE期間に楽天で爆発した品番。楽天比率86%。RPPとメタ広告の併用が効いたと推察。nltp244(1,512枚/楽天NL1,181枚)も楽天比率78%で秋復活。accoさんコラボは秋にも強い。",,,,,,,
,,,,,,,
軸③ 2026トレンド分析（trend2026サイト参照）,,,,,,,
9月で全力投入すべきAW2026トレンド,,,,,,,
,,,,,,,
9月は在庫管理シートv7で秋物新規¥600万＋冬物新規¥250万。秋物は「40%が新規」で棚を一新する最重要月。,,,,,,,
,,,,,,,
「テクスチャーリッチ」（AW重要度9）：9月はニット×テクスチャーの最盛期。ブークレ、ケーブル編み、パターンミキシングが市場を支配。8月投入品の反応を踏まえ、好調品番の追加発注＋不調品番の損切りを判断する月。,,,,,,,
,,,,,,,
「ハイネック×エレガンス」（AW重要度9）：ファンネルネックニット、フリルカラーブラウスが9月のメインステージ。楽天スーパーSALEのメインビジュアルに。,,,,,,,
,,,,,,,
「リテラリーシック×プレッピー」（AW重要度8）：Vogue SS2026からAW2026にかけて通年トレンド。テーラードJK×ペンシルスカートの知的なスタイリングが9月にピーク。ゴールドボタンテーラードJKが読み解けるアイテム。,,,,,,,
,,,,,,,
「レースアップ×コルセット」（AW重要度7）：コルセット風のレースアップディテールが秋のフェミニンアクセント。ニットやブラウスにレースアップを取り入れたアイテム。,,,,,,,
,,,,,,,
NOAHLへの示唆：9月は「8月投入の秋物S級の追加発注」＋「新たな冬物先行2〜3型」がメイン。AS1（accoさんコラボ秋ニット）が9月スーパーSALEで爆発するかが年間のトップライン成否を決める。,,,,,,,
,,,,,,,
軸④ 自社実績分析（2025年9月）,,,,,,,
売上構造,,,,,,,
,,,,,,,
"9月のTOP5はnltp383(2,269枚/¥5,980)、nltp244(1,512枚/¥5,980)、nltp031(836枚/¥5,390)、nltp370(703枚/¥5,480)、nlbi004(482枚/¥4,890)。上位5品番で5,802枚。8月の3,056枚から大幅回復し、年間後半の売上V字回復の起点。",,,,,,,
,,,,,,,
"nltp383(2,269枚)が9月の異常値。8月20日発売→8月242枚→9月2,269枚。「秋のブリッジ品番として狙い通りのタイミングで投入→スーパーSALEで爆発」の完璧なパターン。公式312枚＋楽天1,957枚で楽天比率86%。",,,,,,,
,,,,,,,
"nltp244(1,512枚)の「秋復活」が重要。4月3,472枚→5月895枚→6月373枚→7月72枚→8月82枚→9月1,512枚。accoさんコラボは春だけでなく秋にも売れるオールシーズン品番であることが証明された。",,,,,,,
,,,,,,,
カテゴリ別ではTOP30中トップスが22品番と圧倒的。ワンピースが3品番（nlwp377/222、nlwp170/51、nlwp372/46）。パンツが3品番（njpt360/382、nlpt320/213、nlpt379/163）。スカートが2品番。,,,,,,,
,,,,,,,
成功パターン,,,,,,,
,,,,,,,
"nltp383(2,269枚)：8月新作の「秋ブリッジ品番」がスーパーSALEで爆発。「8月後半発売→9月スーパーSALEのタイミング」が秋物の黄金パターン。",,,,,,,
,,,,,,,
"nltp244(1,512枚)の秋復活：accoさんコラボは春＋秋の二毛作可能。在庫538枚は9月に完売しない程度に残しており、適正在庫管理が効いている。",,,,,,,
,,,,,,,
nltp370(703枚/評価4.52)：8月新作で9月に703枚。nltp383と並ぶ秋ブリッジ成功品番。,,,,,,,
,,,,,,,
nlc076(334枚/2024年発売)：前年のカーディガンが9月に334枚。秋のカーデ需要の強さと「前年品の秋再展開」の有効性を証明。,,,,,,,
,,,,,,,
失敗パターンと教訓,,,,,,,
,,,,,,,
"nltp400(382枚/¥8,980/宅配便)：9月新作で好調に見えるが、¥8,980×宅配便で利益率が低い。メール便¥5,000〜6,000台の方がNOAHLの効率は良い。高単価宅配便品番は「利益率を検算してからS級判断」のルール追加。",,,,,,,
,,,,,,,
nltp434(65枚/評価2.6)：9月新作だが評価2.6は致命的。品質問題が発生。即座に改善対応 or 販売停止の判断が必要。,,,,,,,
,,,,,,,
在庫管理シートv7との整合性,,,,,,,
,,,,,,,
